INDEX,INDEX_1,INDEX_1_1,DATE,OBJECT,RA,DEC,X_IMAGE,Y_IMAGE,SOURCES,TEMPLATE_PATH,SCIENCE_PATH,DIFFERENCE_PATH,PDF_PATH
397,692,497,2024-10-09,PGC074880,55.140573,-18.6507308,3526.0,8768.0,23,/data/transient/AUTOGLASS/Survey_xl130/template/ESO548-065_L_temimg.fits,/data/transient/AUTOGLASS/Survey_xl130/reddir/2024-10-09/RPJ_IMAGE/2024-10-09_ESO548-065_L_com_3_rpj.fits,/data/transient/AUTOGLASS/Survey_xl130/reddir/2024-10-09/DIF_IMAGE/2024-10-09_ESO548-065_L_com_3_rpj_diff.fits,/data/transient/AUTOGLASS/Survey_xl130/reddir/2024-10-09/PDF/2024-10-09_ESO548-065_L_com_3_rpj_diff.pdf
398,691,434,2024-10-09,UGC02773,53.0303295,47.7940585,6044.0,5752.0,22,/data/transient/AUTOGLASS/Survey_xl106/template/UGC02773_L_temimg.fits,/data/transient/AUTOGLASS/Survey_xl106/reddir/2024-10-09/RPJ_IMAGE/2024-10-09_UGC02773_L_com_3_rpj.fits,/data/transient/AUTOGLASS/Survey_xl106/reddir/2024-10-09/DIF_IMAGE/2024-10-09_UGC02773_L_com_3_rpj_diff.fits,/data/transient/AUTOGLASS/Survey_xl106/reddir/2024-10-09/PDF/2024-10-09_UGC02773_L_com_3_rpj_diff.pdf
399,704,388,2024-10-09,UGC03090,69.2361,71.529099,5252.0,4920.0,98,/data/transient/AUTOGLASS/Survey_xl106/template/NGC1560_L_temimg.fits,/data/transient/AUTOGLASS/Survey_xl106/reddir/2024-10-09/RPJ_IMAGE/2024-10-09_NGC1560_L_com_3_rpj.fits,/data/transient/AUTOGLASS/Survey_xl106/reddir/2024-10-09/DIF_IMAGE/2024-10-09_NGC1560_L_com_3_rpj_diff.fits,/data/transient/AUTOGLASS/Survey_xl106/reddir/2024-10-09/PDF/2024-10-09_NGC1560_L_com_3_rpj_diff.p400400,690,467,2024-10-09,UGC02765,53.014077,68.3683529,9400.0,6544.0,35,/data/transient/AUTOGLASS/Survey_xl106/template/IC0342_L_temimg.fits,/data/transient/AUTOGLASS/Survey_xl106/reddir/2024-10-09/RPJ_IMAGE/2024-10-09_IC0342_L_com_3_rpj.fits,/data/transient/AUTOGLASS/Survey_xl106/reddir/2024-10-09/DIF_IMAGE/2024-10-09_IC0342_L_com_3_rpj_diff.fits,/data/transient/AUTOGLASS/Survey_xl106/reddir/2024-10-09/PDF/2024-10-09_IC0342_L_com_3_rpj_diff.pdf
401,720,372,2024-10-09,UGC12182,341.407917,73.162,5152.0,6516.0,21,/data/transient/AUTOGLASS/Survey_xl106/template/UGC12154_L_temimg.fits,/data/transient/AUTOGLASS/Survey_xl106/reddir/2024-10-09/RPJ_IMAGE/2024-10-09_UGC12154_L_com_3_rpj.fits,/data/transient/AUTOGLASS/Survey_xl106/reddir/2024-10-09/DIF_IMAGE/2024-10-09_UGC12154_L_com_3_rpj_diff.fits,/data/transient/AUTOGLASS/Survey_xl106/reddir/2024-10-09/PDF/2024-10-09_UGC12154_L_com_3_rpj_diff.pdf
402,722,370,2024-10-09,UGC12263,344.25585,72.709099,3048.0,5492.0,8,/data/transient/AUTOGLASS/Survey_xl106/template/UGC12154_L_temimg.fits,/data/transient/AUTOGLASS/Survey_xl106/reddir/2024-10-09/RPJ_IMAGE/2024-10-09_UGC12154_L_com_3_rpj.fits,/data/transient/AUTOGLASS/Survey_xl106/reddir/2024-10-09/DIF_IMAGE/2024-10-09_UGC12154_L_com_3_rpj_diff.fits,/data/transient/AUTOGLASS/Survey_xl106/reddir/2024-10-09/PDF/2024-10-09_UGC12154_L_com_3_rpj_diff.pdf
403,750,407,2024-10-09,[TT2009] 30,35.72791667,42.7125,5316.0,2628.0,1,/data/transient/AUTOGLASS/Survey_xl106/template/UGC01807_L_temimg.fits,/data/transient/AUTOGLASS/Survey_xl106/reddir/2024-10-09/RPJ_IMAGE/2024-10-09_UGC01807_L_com_3_rpj.fits,/data/transient/AUTOGLASS/Survey_xl106/reddir/2024-10-09/DIF_IMAGE/2024-10-09_UGC01807_L_com_3_rpj_diff.fits,/data/transient/AUTOGLASS/Survey_xl106/reddir/2024-10-09/PDF/2024-10-09_UGC01807_L_com_3_rpj_diff.pdf
404,749,408,2024-10-09,[KKH2007]J0246+3952,41.5025445,39.877186,3382.0,7776.0,2,/data/transient/AUTOGLASS/Survey_xl106/template/NGC1023_L_temimg.fits,/data/transient/AUTOGLASS/Survey_xl106/reddir/2024-10-09/RPJ_IMAGE/2024-10-09_NGC1023_L_com_3_rpj.fits,/data/transient/AUTOGLASS/Survey_xl106/reddir/2024-10-09/DIF_IMAGE/2024-10-09_NGC1023_L_com_3_rpj_diff.fits,/data/transient/AUTOGLASS/Survey_xl106/reddir/2024-10-09/PDF/2024-10-09_NGC1023_L_com_3_rpj_diff.pdf
405,748,409,2024-10-09,[KKH2007]J0246+3952,41.5025445,39.877186,3382.0,7776.0,1,/data/transient/AUTOGLASS/Survey_xl106/template/NGC1023_L_temimg.fits,/data/transient/AUTOGLASS/Survey_xl106/reddir/2024-10-09/RPJ_IMAGE/2024-10-09_NGC1023_L_com_3_rpj.fits,/data/transient/AUTOGLASS/Survey_xl106/reddir/2024-10-09/DIF_IMAGE/2024-10-09_NGC1023_L_com_3_rpj_diff.fits,/data/transient/AUTOGLASS/Survey_xl106/reddir/2024-10-09/PDF/2024-10-09_NGC1023_L_com_3_rpj_diff.pdf
406,747,410,2024-10-09,PGC074880,55.140573,-18.6507308,4660.0,7520.0,15,/data/transient/AUTOGLASS/Survey_xl130/template/ESO548-073_L_temimg.fits,/data/transient/AUTOGLASS/Survey_xl130/reddir/2024-10-09/RPJ_IMAGE/2024-10-09_ESO548-073_L_com_3_rpj.fits,/data/transient/AUTOGLASS/Survey_xl130/reddir/2024-10-09/DIF_IMAGE/2024-10-09_ESO548-073_L_com_3_rpj_diff.fits,/data/transient/AUTOGLASS/Survey_xl130/reddir/2024-10-09/PDF/2024-10-09_ESO548-073_L_com_3_rpj_diff.pdf
407,746,411,2024-10-09,[KKH2007]J0245+3957,41.459748,39.9532426,3466.0,7964.0,3,/data/transient/AUTOGLASS/Survey_xl106/template/NGC1023_L_temimg.fits,/data/transient/AUTOGLASS/Survey_xl106/reddir/2024-10-09/RPJ_IMAGE/2024-10-09_NGC1023_L_com_3_rpj.fits,/data/transient/AUTOGLASS/Survey_xl106/reddir/2024-10-09/DIF_IMAGE/2024-10-09_NGC1023_L_com_3_rpj_diff.fits,/data/transient/AUTOGLASS/Survey_xl106/reddir/2024-10-09/PDF/2024-10-09_NGC1023_L_com_3_rpj_diff.pdf
